Info 0    [17:58:9.363] Format host information updated
Info 1    [17:58:9.363] reload projects.
Info 2    [17:58:9.364] Before ensureProjectForOpenFiles:
Info 3    [17:58:9.364] After ensureProjectForOpenFiles:
Info 4    [17:58:9.364] Host file extension mappings updated
Info 5    [17:58:9.376] Search path: /var/www/socket/server/Agar.IO Clone
Info 6    [17:58:9.377] For info: /var/www/socket/server/Agar.IO Clone/index.html :: No config files found.
Info 7    [17:58:9.379] Loading global plugin @angular/language-service
Info 8    [17:58:9.379] Enabling plugin @angular/language-service from candidate paths: /root/.vscode/extensions/angular.ng-template-0.1001.0/server/node_modules/@angular/language-service/bundles/language-service.js,/root/.vscode/extensions/angular.ng-template-0.1001.0/node_modules/typescript/lib/tsserverlibrary.js/../../..
Info 9    [17:58:9.379] Loading @angular/language-service from /root/.vscode/extensions/angular.ng-template-0.1001.0/server/node_modules/@angular/language-service/bundles/language-service.js (resolved to /root/.vscode/extensions/angular.ng-template-0.1001.0/server/node_modules/@angular/language-service/bundles/language-service.js/node_modules)
Info 10   [17:58:9.717] Plugin validation succeded
Info 11   [17:58:9.720] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [17:58:13.751] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 4031ms
Info 13   [17:58:13.751] Project '/dev/null/inferredProject1*' (Inferred)
Info 14   [17:58:13.751] 	Files (6)

Info 15   [17:58:13.751] -----------------------------------------------
Info 16   [18:1:22.263] Search path: /var/www/socket/server/Agar.IO Clone/public
Info 17   [18:1:22.264] For info: /var/www/socket/server/Agar.IO Clone/public/index.html :: No config files found.
Info 18   [18:1:22.264] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 19   [18:1:22.275] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true Elapsed: 11ms
Info 20   [18:1:22.275] Project '/dev/null/inferredProject1*' (Inferred)
Info 21   [18:1:22.275] 	Files (6)

Info 22   [18:1:22.275] -----------------------------------------------
Info 23   [18:35:54.516] FileWatcher:: Triggered with /var/www/socket/server/package.json 1:: WatchInfo: /var/www/socket/server/package.json 250 undefined Project:  WatchType: package.json file for import suggestions
Info 24   [18:35:54.517] Elapsed:: 0ms FileWatcher:: Triggered with /var/www/socket/server/package.json 1:: WatchInfo: /var/www/socket/server/package.json 250 undefined Project:  WatchType: package.json file for import suggestions
Info 25   [18:57:19.943] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 26   [18:57:20.0] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 57ms
Info 27   [18:57:20.0] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 28   [18:57:29.816] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 29   [18:57:29.865] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 49ms
Info 30   [18:57:29.865] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 31   [19:6:44.304] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 32   [19:6:44.364] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 59ms
Info 33   [19:6:44.365] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 34   [19:6:45.857] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 35   [19:6:45.897] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 40ms
Info 36   [19:6:45.897] Different program with same set of files:: oldProgram.structureIsReused:: 2
